date,sampling_site,islandsize,distance,site_section,weight_total_grams,weight_bag_grams,length_tail_mm,length_hindfoot_mm,length_ear_mm,length_body_mm,sex_visual,island_size_category,island_dist_category
2022-6-26,Mandarte Island,80697,7206,Section4_1,32,13,17.8,20.4,13.3,NA,male,Medium,far
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,30.5,12,67,19.4,17.3,87.7,male,Large,near
2021-7-11,Sidney Island,9030689,4335,North,30,13,67,20,13,80,male,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,33,14.5,67,21.9,15.9,82,female,Medium,near
2024-7-29,North Pender,NA,NA,NA,39,16,68,20,15,NA,male,Other,Other
2021-7-11,Sidney Island,9030689,4335,North,35,13,70,20.7,14.2,83.3,male,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,37,12,70,20,14,84,male,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,38,13,70,20.1,15.3,89.6,female,Medium,near
2021-7-8,D'Arcy Island,859545,5695,NA,37,13,71,20.7,14.7,86,female,Medium,far
2021-7-14,Sidney Island,9030689,4335,Central,39,13,71,20,14,92,male,Medium,near
2021-7-15,Sidney Island,9030689,4335,South,35,13,71,20,14.4,85,female,Medium,near
2021-7-15,Sidney Island,9030689,4335,South,37,13,71,21.4,NA,NA,female,Medium,near
2024-7-17,Mandarte Island,80697,7206,Section3_1,44,13,71,18,17.3,NA,female,Medium,far
2024-7-17,Mandarte Island,80697,7206,Section3_1,39,16,71,17.2,15,NA,male,Medium,far
2024-7-26,Saturna Island,32247990,17589,NA,38.5,14,71,17.6,16.100000000000001,NA,male,Large,near
2021-7-8,D'Arcy Island,859545,5695,NA,35,12,72,22,15.4,92,female,Medium,far
2021-7-11,Sidney Island,9030689,4335,North,38,NA,72,19.6,15.2,92,male,Medium,near
2021-7-11,Sidney Island,9030689,4335,North,36,14,72,21.4,15,80,male,Medium,near
2021-7-11,Sidney Island,9030689,4335,North,39,12.5,72,20.3,14.2,88.7,female,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,33,13,72,20,16,81,male,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,37,14,72,20.7,14.5,89,male,Medium,near
2021-7-11,Sidney Island,9030689,4335,North,37,13,73,21,14.6,90,female,Medium,near
2022-6-25,Mandarte Island,80697,7206,Section4_1,35,13,73,19,14.8,84,female,Medium,far
2022-7-4,Saturna Island,32247990,17589,NA,36,14,73,19.4,13.7,88.7,female,Large,near
2022-7-7,Mandarte Island,80697,7206,Section4_2,31,14,73,20.3,14,91,male,Medium,far
2022-7-7,Mandarte Island,80697,7206,Section4_2,32,13,73,16.7,14,74,male,Medium,far
2022-7-10,North Pender,NA,NA,NA,33,13,73,22.2,12.3,99,female,Other,Other
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,33,13.5,74,19.4,15.3,79.8,male,Large,near
2021-7-11,Sidney Island,9030689,4335,North,35.5,12,74,20.7,13,NA,male,Medium,near
2021-7-11,Sidney Island,9030689,4335,North,37,12,74,21,14.3,89,female,Medium,near
2021-7-11,Sidney Island,9030689,4335,North,35,13,74,19.7,14.7,86,female,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,34,12.5,74,20.5,15,86,male,Medium,near
2022-6-25,Mandarte Island,80697,7206,Section4_1,32,13,74,18.9,14.7,90,male,Medium,far
2022-6-25,Mandarte Island,80697,7206,Section4_1,31,12,74,20,13.8,82.7,male,Medium,far
2022-6-26,Mandarte Island,80697,7206,Section4_1,34,13.5,74,19.2,15.9,83.9,male,Medium,far
2022-7-14,Mandarte Island,80697,7206,Section4_3,33,14,74,19,13.9,NA,male,Medium,far
2022-7-18,Vancouver,0,0,StanleyPark,28,12,74,20,14.7,86,female,Small,near
2022-7-21,Mandarte Island,80697,7206,Section4_4,36,15,74,20.1,15,83.6,male,Medium,far
2023-6-24,Mandarte Island,80697,7206,Section3_2,36,12,74,20.5,14.4,NA,female,Medium,far
2023-6-27,Mandarte Island,80697,7206,Section3_2,36,13.5,74,20.2,13.7,NA,male,Medium,far
2024-7-17,Mandarte Island,80697,7206,Section3_1,47.5,13,74,19,15.2,NA,female,Medium,far
2024-7-26,Saturna Island,32247990,17589,NA,38,13.5,74,19,14.4,NA,female,Large,near
2021-6-29,Mandarte Island,80697,7206,Section5_1,30.5,14.5,75,19.7,16,80,male,Medium,far
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,32,15.5,75,20,15.5,72.900000000000006,female,Large,near
2021-7-8,D'Arcy Island,859545,5695,NA,42,14,75,21.1,15.7,87.2,female,Medium,far
2021-7-11,Sidney Island,9030689,4335,North,38,13.5,75,22.2,15.4,98,male,Medium,near
2021-7-18,Mandarte Island,80697,7206,Section4_4,34,14,75,20,16.7,83.4,female,Medium,far
2022-7-7,Mandarte Island,80697,7206,Section4_2,42,14.5,75,19.5,13,83.7,female,Medium,far
2022-7-21,Mandarte Island,80697,7206,Section4_4,35,13,75,20,14.7,82,male,Medium,far
2023-6-20,Mandarte Island,80697,7206,Section3_1,39,11.5,75,15.7,19.600000000000001,NA,female,Medium,far
2023-6-23,Mandarte Island,80697,7206,Section3_2,33.5,12,75,20.7,13.7,NA,female,Medium,far
2024-7-17,Mandarte Island,80697,7206,Section3_1,38,13,75,18.1,13.7,NA,male,Medium,far
2021-6-30,Mandarte Island,80697,7206,Section5_1,36,14,76,20,15.1,74.150000000000006,female,Medium,far
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,31,12,76,20.3,15,84.9,male,Large,near
2021-7-8,D'Arcy Island,859545,5695,NA,37,12.5,76,20.7,16.100000000000001,83.5,male,Medium,far
2021-7-11,Sidney Island,9030689,4335,North,36,13.5,76,20.2,13,92.5,male,Medium,near
2021-7-15,Sidney Island,9030689,4335,South,36,13,76,19.7,15.4,89.6,male,Medium,near
2022-6-26,Mandarte Island,80697,7206,Section4_1,29,13.5,76,18,14.7,77.400000000000006,male,Medium,far
2022-7-21,Mandarte Island,80697,7206,Section4_4,30,12,76,15,18.3,NA,male,Medium,far
2023-6-24,Mandarte Island,80697,7206,Section3_2,32,12.5,76,19.7,14.6,NA,male,Medium,far
2023-6-27,Mandarte Island,80697,7206,Section3_2,37,12,76,20,14.2,NA,male,Medium,far
2023-6-30,Mandarte Island,80697,7206,Section3_3,35,12.5,76,19.3,15.7,NA,female,Medium,far
2024-7-17,Mandarte Island,80697,7206,Section3_1,37,14,76,19.1,14.4,NA,male,Medium,far
2024-7-18,Mandarte Island,80697,7206,Section3_1,37,13,76,19,18,NA,male,Medium,far
2024-7-26,Saturna Island,32247990,17589,NA,31,13.5,76,18,13.5,NA,male,Large,near
2024-8-2,Mandarte Island,80697,7206,Section3_3,32,14,76,18.5,15,NA,male,Medium,far
2021-7-8,D'Arcy Island,859545,5695,NA,39,14,77,21.5,16,82.9,female,Medium,far
2021-7-8,D'Arcy Island,859545,5695,NA,34,12,77,20,14.2,95.7,female,Medium,far
2022-6-27,Mandarte Island,80697,7206,Section4_1,33,14.5,77,19,15,83,male,Medium,far
2022-7-22,Mandarte Island,80697,7206,Section4_4,34,12.5,77,20.3,13.5,74,female,Medium,far
2023-6-23,Mandarte Island,80697,7206,Section3_2,33,12,77,19.9,15.7,NA,male,Medium,far
2024-7-18,Mandarte Island,80697,7206,Section3_1,34,13,77,19.6,16,NA,male,Medium,far
2024-7-26,Saturna Island,32247990,17589,NA,36.5,13.5,77,20,12.6,NA,male,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,37.5,14,78,19.5,15.6,80.3,female,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,36,16.5,78,19.5,14.2,84.8,female,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,36,16,78,19.9,14.7,81.3,male,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,35,13,78,20,14.5,87,male,Large,near
2021-7-8,D'Arcy Island,859545,5695,NA,43.5,14,78,21.7,14.5,87.6,female,Medium,far
2021-7-8,D'Arcy Island,859545,5695,NA,42,14,78,19.1,14.8,91.8,male,Medium,far
2021-7-8,D'Arcy Island,859545,5695,NA,39,15,78,20.2,15,88.8,male,Medium,far
2021-7-11,Sidney Island,9030689,4335,North,38.5,12,78,20,15.2,93.4,male,Medium,near
2021-7-11,Sidney Island,9030689,4335,North,32,13.5,78,20.5,14,NA,female,Medium,near
2021-7-11,Sidney Island,9030689,4335,North,34,12.5,78,21,15,84.7,male,Medium,near
2021-7-11,Sidney Island,9030689,4335,North,33,13,78,22.2,16.600000000000001,76,male,Medium,near
2021-7-11,Sidney Island,9030689,4335,North,34,13.5,78,20.5,15.7,79,male,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,34,12,78,19.8,14,82,male,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,33,12,78,21.5,15.4,NA,male,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,38,14,78,20.6,16,85.4,male,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,37,13,78,20,15.8,82.6,male,Medium,near
2021-7-15,Sidney Island,9030689,4335,South,37,13,78,20,16,96,male,Medium,near
2021-7-15,Sidney Island,9030689,4335,South,38,13,78,20.5,15.7,NA,male,Medium,near
2021-7-18,Mandarte Island,80697,7206,Section4_4,35,13,78,19.5,14.6,87.8,female,Medium,far
2022-7-7,Mandarte Island,80697,7206,Section4_2,36,13,78,20,13.3,79,female,Medium,far
2022-7-15,Mandarte Island,80697,7206,Section4_3,28,12,78,19.9,15,80.8,male,Medium,far
2022-7-15,Mandarte Island,80697,7206,Section4_3,24,13,78,19.7,13,79.900000000000006,male,Medium,far
2022-7-21,Mandarte Island,80697,7206,Section4_4,34,13,78,19.4,13.2,88.3,male,Medium,far
2022-7-21,Mandarte Island,80697,7206,Section4_4,37,12,78,19.1,14,85,male,Medium,far
2023-6-20,Mandarte Island,80697,7206,Section3_1,32,12,78,19.3,14.5,NA,male,Medium,far
2023-6-30,Mandarte Island,80697,7206,Section3_3,38,13.5,78,19.6,14.4,NA,female,Medium,far
2024-7-26,Saturna Island,32247990,17589,NA,34,13.5,78,19.3,15.9,NA,male,Large,near
2024-7-29,North Pender,0,0,NA,38,14,78,18,15.1,NA,female,Small,near
2024-8-2,Mandarte Island,80697,7206,Section3_3,29,12,78,19,14.4,NA,male,Medium,far
2024-8-2,Mandarte Island,80697,7206,Section3_3,39,13,78,18.3,14.7,NA,female,Medium,far
2021-7-4,Vancouver Island,31285000000,NA,CanoeCove,33,14,79,19.2,16.100000000000001,88.6,female,Large,distant
2021-7-8,D'Arcy Island,859545,5695,NA,35,15,79,21.5,15,96.5,male,Medium,far
2021-7-11,Sidney Island,9030689,4335,North,33,13,79,20,15,NA,female,Medium,near
2021-7-11,Sidney Island,9030689,4335,North,34,13,79,21.4,14.7,84.4,male,Medium,near
2021-7-11,Sidney Island,9030689,4335,North,38,13,79,20.7,15,83,male,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,34,13.5,79,20,14.5,NA,female,Medium,near
2022-6-30,Saltspring Island,185492869,585,CrownLand,34,14.5,79,19.6,13.7,78,female,Large,far
2022-7-18,Vancouver,0,0,StanleyPark,36,15,79,20,14.9,NA,male,Small,near
2022-7-19,Vancouver,0,0,JerichoPark,34,13.4,79,18.6,15,88,male,Small,near
2022-7-27,Mandarte Island,80697,7206,Section4_4,35,14,79,18.1,15.1,NA,male,Medium,far
2023-6-20,Mandarte Island,80697,7206,Section3_1,34,11,79,19.6,15.7,NA,male,Medium,far
2021-7-4,Vancouver Island,31285000000,NA,CanoeCove,31.5,12.5,80,20.1,13.9,80,male,Large,distant
2021-7-8,D'Arcy Island,859545,5695,NA,37,14,80,19.2,15,93,female,Medium,far
2021-7-8,D'Arcy Island,859545,5695,NA,52,13,80,21.5,13.6,86.5,female,Medium,far
2021-7-11,Sidney Island,9030689,4335,North,33,13,80,20.9,14.5,87,male,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,36,13,80,21.3,13.3,79.7,male,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,34,13,80,20.9,14.6,86,female,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,33,13,80,20,14.8,84,female,Medium,near
2021-7-15,Sidney Island,9030689,4335,South,37,13,80,19.7,15.7,89,NA,Medium,near
2022-6-25,Mandarte Island,80697,7206,Section4_1,39.5,14.5,80,19.2,13.2,93.4,male,Medium,far
2022-7-7,Mandarte Island,80697,7206,Section4_2,40.5,15,80,19.3,13,92.3,female,Medium,far
2022-7-7,Mandarte Island,80697,7206,Section4_2,40,15,80,20.7,13,89.5,male,Medium,far
2022-7-7,Mandarte Island,80697,7206,Section4_2,38,13,80,19,13.3,88.8,female,Medium,far
2022-7-18,Vancouver,0,0,StanleyPark,36,12,80,20.7,16.600000000000001,82.7,NA,Small,near
2022-7-19,Vancouver,0,0,JerichoPark,33,13,80,19.4,14.4,78,male,Small,near
2022-7-22,Mandarte Island,80697,7206,Section4_4,30,12.5,80,18,14.4,79.900000000000006,female,Medium,far
2023-6-20,Mandarte Island,80697,7206,Section3_1,39,11,80,20.5,15,NA,male,Medium,far
2023-6-20,Mandarte Island,80697,7206,Section3_1,32,12,80,19.2,15.1,NA,male,Medium,far
2023-6-24,Mandarte Island,80697,7206,Section3_2,37,12.5,80,16.1,13.1,NA,female,Medium,far
2023-6-28,Mandarte Island,80697,7206,Section3_3,34,11,80,20.5,13,NA,male,Medium,far
2023-7-1,Mandarte Island,80697,7206,Section3_3,37,13,80,18.7,15.8,NA,female,Medium,far
2024-7-18,Mandarte Island,80697,7206,Section3_1,36,12,80,18.3,17.8,NA,male,Medium,far
2024-7-26,Saturna Island,32247990,17589,NA,46,13,80,19.5,16.100000000000001,NA,female,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,31,13,81,20.3,15.3,89.9,female,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,32.5,12.5,81,18.6,16.5,80.400000000000006,female,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,33,13.5,81,17.9,16.399999999999999,79.400000000000006,female,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,35,15,81,18.8,14.7,87.1,male,Large,near
2021-7-8,D'Arcy Island,859545,5695,NA,35,13,81,20.9,14.1,82,male,Medium,far
2021-7-11,Sidney Island,9030689,4335,North,42,13,81,22,15,94.5,female,Medium,near
2021-7-22,Portland Island,1408095,3743,NA,40,13,81,20.3,14.4,84.3,female,Medium,near
2021-7-22,Portland Island,1408095,3743,NA,37,14,81,20,14.5,87,female,Medium,near
2022-6-30,Saltspring Island,185492869,585,CrownLand,29,13,81,19,12.4,75.5,male,Large,far
2022-7-15,Mandarte Island,80697,7206,Section4_3,42,13,81,19.4,15.8,88,female,Medium,far
2023-6-28,Mandarte Island,80697,7206,Section3_3,37.5,13,81,18.7,13.3,NA,female,Medium,far
2024-7-17,Mandarte Island,80697,7206,Section3_1,36.5,13.5,81,16.6,14,NA,male,Medium,far
2024-7-26,Saturna Island,32247990,17589,NA,32.5,12.5,81,19.4,15.5,NA,female,Large,near
2021-6-30,Mandarte Island,80697,7206,Section5_1,42,15,82,21.4,16.5,94.5,female,Medium,far
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,32,14,82,19.5,16.399999999999999,82.1,male,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,31,14,82,20,15.9,87,female,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,31.5,13,82,19.5,16.100000000000001,76,female,Large,near
2021-7-8,D'Arcy Island,859545,5695,NA,43,13,82,21,14.9,97,female,Medium,far
2021-7-8,D'Arcy Island,859545,5695,NA,38,14,82,21,15,85.4,female,Medium,far
2021-7-8,D'Arcy Island,859545,5695,NA,38,12,82,22,15,90.5,male,Medium,far
2021-7-8,D'Arcy Island,859545,5695,NA,40,13,82,19.2,14,87.4,female,Medium,far
2021-7-8,D'Arcy Island,859545,5695,NA,37,13,82,21.2,14.4,82.5,male,Medium,far
2021-7-14,Sidney Island,9030689,4335,Central,35,13,82,21,14.7,93,female,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,40,13,82,20.6,14.8,89,male,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,38,14,82,21.5,15,93,female,Medium,near
2021-7-14,Sidney Island,9030689,4335,Central,41,13,82,21,14.7,93,male,Medium,near
2021-7-15,Sidney Island,9030689,4335,South,40,14.5,82,20.4,16.5,93,female,Medium,near
2021-7-15,Sidney Island,9030689,4335,South,44,14,82,21,14.7,90,male,Medium,near
2021-7-18,Mandarte Island,80697,7206,Section4_4,37,12.5,82,20.3,15,87.4,female,Medium,far
2021-7-18,Mandarte Island,80697,7206,Section4_4,38,14.5,82,21.3,14.7,88,male,Medium,far
2021-7-18,Mandarte Island,80697,7206,Section4_4,33,12,82,19.6,15,90.8,female,Medium,far
2021-7-18,Mandarte Island,80697,7206,Section4_4,38,13,82,19.7,14.8,89.6,male,Medium,far
2021-7-20,Vancouver Island,31285000000,0,BeaverLake,43,17.5,82,19.3,14.2,81.3,female,Large,near
2021-7-22,Portland Island,1408095,3743,NA,45,13,82,22.5,16,87.4,female,Medium,near
2022-6-25,Mandarte Island,80697,7206,Section4_1,40,15,82,18.9,15,94.8,female,Medium,far
2022-6-26,Mandarte Island,80697,7206,Section4_1,33,13.5,82,20,13.2,81.7,male,Medium,far
2022-6-27,Mandarte Island,80697,7206,Section4_1,34,NA,82,19,13.8,77.5,female,Medium,far
2022-7-1,Saltspring Island,185492869,585,Ruckel,35,12,82,18.7,13,90,male,Large,far
2022-7-7,Mandarte Island,80697,7206,Section4_2,41,15,82,19.7,14.4,90,male,Medium,far
2022-7-13,Mandarte Island,80697,7206,Section4_3,38,14,82,20.2,15,82,female,Medium,far
2022-7-14,Mandarte Island,80697,7206,Section4_3,38,15,82,20,14.7,79.900000000000006,female,Medium,far
2022-7-14,Mandarte Island,80697,7206,Section4_3,39,13,82,20,16.2,84.2,female,Medium,far
2022-7-21,Mandarte Island,80697,7206,Section4_4,39,12,82,19.9,14.3,88,female,Medium,far
2022-7-21,Mandarte Island,80697,7206,Section4_4,42,13.5,82,19.4,16,88.6,female,Medium,far
2022-7-21,Mandarte Island,80697,7206,Section4_4,29,12,82,19.7,14.7,77,male,Medium,far
2022-7-21,Mandarte Island,80697,7206,Section4_4,38,13,82,19.4,15.3,93.2,female,Medium,far
2022-7-22,Mandarte Island,80697,7206,Section4_4,31,NA,82,20,14.3,75,male,Medium,far
2022-7-22,Mandarte Island,80697,7206,Section4_4,36,14,82,19.2,15,81.8,female,Medium,far
2022-7-22,Mandarte Island,80697,7206,Section4_4,40,12.5,82,20.3,15,88.7,female,Medium,far
2022-7-27,Mandarte Island,80697,7206,Section4_4,36,12.5,82,20.8,14.2,92.5,female,Medium,far
2023-6-20,Mandarte Island,80697,7206,Section3_1,36,11,82,20,13.7,NA,male,Medium,far
2023-6-24,Mandarte Island,80697,7206,Section3_2,39,13.5,82,20.5,15.6,NA,male,Medium,far
2023-6-30,Mandarte Island,80697,7206,Section3_3,38,12.5,82,19.5,12.4,NA,male,Medium,far
2024-7-29,North Pender,NA,NA,NA,32,16.5,82,19,14.7,NA,male,Other,Other
2021-6-30,Mandarte Island,80697,7206,Section5_1,39,13.5,83,20.8,16.8,88.5,male,Medium,far
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,36,14.5,83,20.7,15.3,84.4,male,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,35,14.5,83,20.8,15.1,NA,female,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,30.5,13.5,83,19.8,15,80.5,female,Large,near
2021-7-11,Sidney Island,9030689,4335,North,40,13,83,20,16.100000000000001,89,male,Medium,near
2021-7-18,Mandarte Island,80697,7206,Section4_4,40,14,83,21,16.100000000000001,94,male,Medium,far
2021-7-18,Mandarte Island,80697,7206,Section4_4,43,13.5,83,20.5,16,90,male,Medium,far
2021-7-20,Vancouver Island,31285000000,0,BeaverLake,36,13,83,20.2,14.6,90.6,male,Large,near
2021-7-22,Portland Island,1408095,3743,NA,39,12,83,21.8,14.7,91.4,male,Medium,near
2022-6-25,Mandarte Island,80697,7206,Section4_1,39.5,13,83,20,14.8,92.5,female,Medium,far
2022-6-30,Saltspring Island,185492869,585,CrownLand,32,13,83,20.5,13.8,82,female,Large,far
