location,index,block,treatment,depth,soil_carbon,no3,nh4,p,icp_k,site,depth_cm
ISU,1,I,Control,0-2,2.4,36.1,6.7,45.7,276.8,isu,0
ISU,2,I,Control,2-4,2.1,21.6,9.2,22.5,147.1,isu,2
ISU,3,I,Control,4-6,2,10.2,6.6,19.9,133.8,isu,4
ISU,4,I,Control,6-8,1.7,5.6,5.2,14.2,107.9,isu,6
ISU,5,I,Control,8-10,1.6,3.4,4.7,11.4,108,isu,8
ISU,6,I,Control,10-15,1.5,3.1,3.9,11.4,103,isu,10
ISU,7,I,Control,15-20,1.5,2.3,3.2,9.1,102.5,isu,15
ISU,8,I,Control,20-25,1.4,1.8,3.5,7.2,98.1,isu,20
ISU,9,I,Control,25-30,1.2,2.3,3,6.7,99.7,isu,25
ISU,10,I,PCRO,0-2,3,42.4,12.3,51.8,230.8,isu,0
ISU,11,I,PCRO,2-4,2.5,16.1,9.8,34.5,180.2,isu,2
ISU,12,I,PCRO,4-6,2.1,12.1,5.6,23.5,130.5,isu,4
ISU,13,I,PCRO,6-8,2,7.9,5.3,20,112.5,isu,6
ISU,14,I,PCRO,8-10,1.7,5.3,4.6,16.4,101,isu,8
ISU,15,I,PCRO,10-15,1.5,3.1,3.8,10.3,104.5,isu,10
ISU,16,I,PCRO,15-20,1.4,1.6,3.4,8.7,89.2,isu,15
ISU,17,I,PCRO,20-25,1.2,2.5,8.3,9,99.3,isu,20
ISU,18,I,PCRO,25-30,0.9,2,2.4,5.4,97.1,isu,25
ISU,19,I,Wild PC,0-2,3.6,17.4,6.8,42.7,260.5,isu,0
ISU,20,I,Wild PC,2-4,2.3,7.7,4.7,22.7,163,isu,2
ISU,21,I,Wild PC,4-6,2,5,5.5,15.9,126.6,isu,4
ISU,22,I,Wild PC,6-8,1.9,3.6,4.7,14,114.6,isu,6
ISU,23,I,Wild PC,8-10,1.6,3.1,4.4,11.7,99.7,isu,8
ISU,24,I,Wild PC,10-15,1.4,3.9,4,10.8,107.7,isu,10
ISU,25,I,Wild PC,15-20,1.4,2.3,2.8,8.5,107.9,isu,15
ISU,26,I,Wild PC,20-25,1.3,2,2.6,6.1,94.6,isu,20
ISU,27,I,Wild PC,25-30,1.1,2.1,2.4,5.6,106.9,isu,25
ISU,28,I,Cereal Rye,0-2,3.4,15.5,6.6,63,329.7,isu,0
ISU,29,I,Cereal Rye,2-4,2.5,7.3,4.4,31.6,149.2,isu,2
ISU,30,I,Cereal Rye,4-6,2,4.5,5.4,25.3,120.3,isu,4
ISU,31,I,Cereal Rye,6-8,1.8,2.6,5.1,23.4,107.7,isu,6
ISU,32,I,Cereal Rye,8-10,1.8,3.2,4.6,15.9,107.9,isu,8
ISU,33,I,Cereal Rye,10-15,1.7,2.7,4,13.3,103,isu,10
ISU,34,I,Cereal Rye,15-20,1.4,2.2,3.1,9.6,94.7,isu,15
ISU,35,I,Cereal Rye,20-25,1.1,1.7,2.3,6.7,108.2,isu,20
ISU,36,I,Cereal Rye,25-30,1,1.8,2.3,6.7,99.4,isu,25
ISU,37,I,Ann Ryegrass,0-2,3.1,17.9,27,81.9,354.7,isu,0
ISU,38,I,Ann Ryegrass,2-4,2.6,14.8,12,50.5,214.8,isu,2
ISU,39,I,Ann Ryegrass,4-6,2.3,9.7,7.1,42.6,137.1,isu,4
ISU,40,I,Ann Ryegrass,6-8,2.1,7.6,8.5,38.2,111.6,isu,6
ISU,41,I,Ann Ryegrass,8-10,1.8,5.7,6.5,26.3,110.7,isu,8
ISU,42,I,Ann Ryegrass,10-15,1.6,4.8,6.6,15.5,108.2,isu,10
ISU,43,I,Ann Ryegrass,15-20,1.4,2.5,5.5,11.2,115.8,isu,15
ISU,44,I,Ann Ryegrass,20-25,1.1,1.8,2.7,9.5,112.8,isu,20
ISU,45,I,Ann Ryegrass,25-30,1,1.8,2.6,7.5,140.5,isu,25
ISU,46,I,Golden PC,0-2,2.6,18.5,15.6,66.1,289.9,isu,0
ISU,47,I,Golden PC,2-4,2.2,9.2,4.9,33.5,148.7,isu,2
ISU,48,I,Golden PC,4-6,2,7.5,6.7,27.8,115.3,isu,4
ISU,49,I,Golden PC,6-8,1.8,5.8,5.9,23.7,119,isu,6
ISU,50,I,Golden PC,8-10,1.6,4.4,6.5,18.2,103.2,isu,8
ISU,51,I,Golden PC,10-15,1.5,4.2,5.5,9.7,95.3,isu,10
ISU,52,I,Golden PC,15-20,1.4,2.6,4.3,10.1,97,isu,15
ISU,53,I,Golden PC,20-25,1.2,2.3,3.7,7.6,103.8,isu,20
ISU,54,I,Golden PC,25-30,1,1.7,3.6,6.9,103.4,isu,25
ISU,55,II,Control,0-2,2.7,35.8,27.2,80.4,288.6,isu,0
ISU,56,II,Control,2-4,2.5,43,20.6,36.1,140.3,isu,2
ISU,57,II,Control,4-6,2.1,24.1,9,29.3,124.5,isu,4
ISU,58,II,Control,6-8,1.9,13.6,7.4,23.9,115.3,isu,6
ISU,59,II,Control,8-10,1.7,8.3,6.9,16.6,109.6,isu,8
ISU,60,II,Control,10-15,1.6,5.3,6,13.6,97.6,isu,10
ISU,61,II,Control,15-20,1.5,3.6,4.9,10.8,101.9,isu,15
ISU,62,II,Control,20-25,1.8,3.1,3.9,11.8,103.1,isu,20
ISU,63,II,Control,25-30,1.6,1.9,3.8,12.6,101.3,isu,25
ISU,64,II,PCRO,0-2,3.3,20.9,18.1,108.7,361.5,isu,0
ISU,65,II,PCRO,2-4,2.6,30.5,10.6,75.5,201.4,isu,2
ISU,66,II,PCRO,4-6,2.2,22,7.3,44,116.1,isu,4
ISU,67,II,PCRO,6-8,2.3,17.9,7.2,40.3,99.9,isu,6
ISU,68,II,PCRO,8-10,2,14.3,7.1,46.2,96.5,isu,8
ISU,69,II,PCRO,10-15,1.7,8.5,5.4,16.3,96,isu,10
ISU,70,II,PCRO,15-20,1.5,4.7,4.2,11.6,88.9,isu,15
ISU,71,II,PCRO,20-25,1.6,2.9,3.7,12.8,98.2,isu,20
ISU,72,II,PCRO,25-30,1.7,2,3.3,14.6,107.7,isu,25
ISU,73,II,Wild PC,0-2,3.2,36.6,20.1,64.2,323.2,isu,0
ISU,74,II,Wild PC,2-4,2.5,36.3,7.5,28.8,182.5,isu,2
ISU,75,II,Wild PC,4-6,2.2,25.5,8.1,24.1,149.5,isu,4
ISU,76,II,Wild PC,6-8,1.9,17.5,7.6,19.5,117,isu,6
ISU,77,II,Wild PC,8-10,1.8,13,7.1,16.2,114.8,isu,8
ISU,78,II,Wild PC,10-15,1.6,9.8,5.8,12.4,112,isu,10
ISU,79,II,Wild PC,15-20,1.5,6.5,5,10.7,101.9,isu,15
ISU,80,II,Wild PC,20-25,1.6,5.4,5.1,11,102.3,isu,20
ISU,81,II,Wild PC,25-30,1.6,3.8,4.7,10.1,100.6,isu,25
ISU,82,II,Cereal Rye,0-2,4.8,29.2,22.6,74.3,278.3,isu,0
ISU,83,II,Cereal Rye,2-4,2.4,22.6,8,44.3,151,isu,2
ISU,84,II,Cereal Rye,4-6,2.3,15,6.5,36.5,117.4,isu,4
ISU,85,II,Cereal Rye,6-8,2.1,9.3,6.4,29.4,102.1,isu,6
