crop,sample,vfa,ret_time,area,height,conc_ppm,yield_g_g_vs
WPC,1-a,Acetic acid,6.03,109039,40700,369.393,0.04983904711710762
WPC,1-a,Propionic acid,6.644,21683,10093,48.642,0.006562850216085169
WPC,1-a,Butyric acid,7.241,248720,127670,453.008,0.06112050595551807
WPC,1-a,Valeric acid,8.201,5094,2492,8.661,0.0011685548645514914
WPC,1-a,Hexanoic,8.631,15613,7726,25.491,0.003439283229682724
WPC,1-b,Acetic acid,6.03,109474,40443,370.868,0.05003805628755138
WPC,1-b,Propionic acid,6.643,24405,11036,54.747,0.0073865457995151255
WPC,1-b,Butyric acid,7.241,264615,134132,481.959,0.06502661747654685
WPC,1-b,Valeric acid,8.201,5414,2503,9.204,0.0012418172235690945
WPC,1-b,Hexanoic,8.631,17617,8672,28.763,0.0038807462843891637
WPC,2-a,Acetic acid,6.029,117075,43735,396.618,0.053512284178349315
WPC,2-a,Propionic acid,6.643,31072,14074,69.702,0.009404296405607674
WPC,2-a,Butyric acid,7.24,282051,141796,513.717,0.06931145356804047
WPC,2-a,Valeric acid,8.201,5556,2516,9.445,0.0012743332981975336
WPC,2-a,Hexanoic,8.63,17374,8414,28.366,0.0038271824602087064
WPC,2-b,Acetic acid,6.03,115000,42380,389.59,0.05256405607673658
WPC,2-b,Propionic acid,6.643,32109,14384,72.03,0.009718393591230104
WPC,2-b,Butyric acid,7.241,285752,141555,520.456,0.07022068936439338
WPC,2-b,Valeric acid,8.201,5452,2467,9.269,0.0012505871192157688
WPC,2-b,Hexanoic,8.63,17571,8489,28.688,0.0038706271740276167
WPC,3-a,Acetic acid,6.029,135351,50685,458.533,0.06186594708548541
WPC,3-a,Propionic acid,6.643,37148,16752,83.333,0.011243410983451038
WPC,3-a,Butyric acid,7.24,293951,146008,535.39,0.0722356066195847
WPC,3-a,Valeric acid,8.201,5480,2472,9.316,0.001256928428375672
WPC,3-a,Hexanoic,8.63,20003,9684,32.659,0.0044064003373036785
WPC,3-b,Acetic acid,6.03,136221,50405,461.48,0.06226356066195848
WPC,3-b,Propionic acid,6.644,37960,16923,85.155,0.011489237904500895
WPC,3-b,Butyric acid,7.241,300327,143821,547.002,0.0738023147464952
WPC,3-b,Valeric acid,8.201,5450,2467,9.265,0.0012500474333298197
WPC,3-b,Hexanoic,8.63,20447,9943,33.384,0.00450421840413197
GPC,4-a,Acetic acid,6.033,49370,18720,167.252,0.022856654964894682
GPC,4-a,Propionic acid,6.647,9169,3597,20.569,0.0028109591273821465
GPC,4-a,Butyric acid,7.245,32920,14928,59.96,0.008194132397191576
GPC,4-a,Valeric acid,7.936,3357,1747,5.708,7.800551654964893e-4
GPC,4-a,Hexanoic,8.633,14880,7011,24.294,0.003320017552657974
GPC,4-b,Acetic acid,6.034,64701,23037,219.19,0.02995450100300903
GPC,4-b,Propionic acid,6.647,10355,3980,23.229,0.003174474674022066
GPC,4-b,Butyric acid,7.245,37565,16897,68.419,0.009350139167502509
GPC,4-b,Valeric acid,7.936,3753,1910,6.38,8.71890672016048e-4
GPC,4-b,Hexanoic,8.633,17332,7910,28.297,0.003867067452357071
GPC,5-a,Acetic acid,6.034,64914,21921,219.912,0.03005316950852557
GPC,5-a,Propionic acid,6.648,8341,3471,18.712,0.0025571815446339017
GPC,5-a,Butyric acid,7.245,31435,13806,57.255,0.007824467151454365
GPC,5-a,Valeric acid,7.936,3241,1684,5.51,7.529964894684052e-4
GPC,5-a,Hexanoic,8.633,15788,7156,25.777,0.003522684302908726
GPC,5-b,Acetic acid,6.034,62601,20813,212.076,0.02898230190571715
GPC,5-b,Propionic acid,6.648,7221,2974,16.198,0.002213618355065196
GPC,5-b,Butyric acid,7.245,25989,11438,47.335,0.006468800150451355
GPC,5-b,Valeric acid,7.935,2728,1386,4.638,6.338289869608825e-4
GPC,5-b,Hexanoic,8.632,13148,6017,21.466,0.002933543129388165
GPC,6-a,Acetic acid,6.034,68034,23021,230.481,0.03149752883650953
GPC,6-a,Propionic acid,6.648,7276,2896,16.321,0.0022304275325977932
GPC,6-a,Butyric acid,7.244,29317,13178,53.396,0.007297096288866599
GPC,6-a,Valeric acid,7.936,2399,1234,4.078,5.572993981945838e-4
GPC,6-a,Hexanoic,8.632,12032,5461,19.645,0.002684685305917753
GPC,6-b,Acetic acid,6.034,66283,22219,224.549,0.03068686183550652
GPC,6-b,Propionic acid,6.648,6185,2466,13.876,0.0018962938816449344
GPC,6-b,Butyric acid,7.244,27978,12814,50.958,0.006963919257773321
GPC,6-b,Valeric acid,7.936,2044,1052,3.475,4.748934302908726e-4
GPC,6-b,Hexanoic,8.633,10506,4699,17.154,0.0023442652958876632
CC,7-a,Acetic acid,6.032,80780,29128,273.662,0.037089948046080866
CC,7-a,Propionic acid,6.646,6189,2603,13.884,0.001881725773661622
CC,7-a,Butyric acid,7.242,51686,25676,94.139,0.012758843460582788
CC,7-a,Valeric acid,8.201,3388,1723,5.76,7.806641066184775e-4
CC,7-a,Hexanoic,8.632,9435,4270,15.405,0.0020878698893155635
CC,7-b,Acetic acid,6.031,76983,28113,260.797,0.035346329342669985
CC,7-b,Propionic acid,6.646,5530,2296,12.405,0.0016812740004517733
CC,7-b,Butyric acid,7.242,55732,27874,101.507,0.013757442963632259
CC,7-b,Valeric acid,8.201,3509,1808,5.965,8.084481590241699e-4
CC,7-b,Hexanoic,8.632,8004,3547,13.068,0.001771131691890671
CC,8-a,Acetic acid,6.031,84648,31861,286.765,0.03886582335667495
CC,8-a,Propionic acid,6.646,4831,2047,10.837,0.0014687598825389658
CC,8-a,Butyric acid,7.242,92432,47663,168.351,0.02281694149536933
CC,8-a,Valeric acid,8.201,4428,2277,7.528,0.0010202846171222047
CC,8-a,Hexanoic,8.374,13865,2009,22.636,0.003067901513440253
CC,8-b,Acetic acid,6.03,83140,30830,281.655,0.03817325502597696
CC,8-b,Propionic acid,6.645,4248,1842,9.53,0.0012916196069573075
CC,8-b,Butyric acid,7.241,100741,51840,183.486,0.024868217754687148
CC,8-b,Valeric acid,8.201,4634,2324,7.879,0.0010678563361192681
CC,8-b,Hexanoic,8.376,6664,1255,10.881,0.0014747232889089678
CC,9-a,Acetic acid,6.029,101189,39039,342.8,0.04646035690083578
CC,9-a,Propionic acid,6.644,4031,1777,9.042,0.0012254800090354644
CC,9-a,Butyric acid,7.24,188842,99223,343.949,0.04661608312627062
CC,9-a,Valeric acid,8.201,5079,2558,8.635,0.0011703185001129433
CC,9-a,Hexanoic,8.373,7732,1406,12.624,0.0017109555003388302
CC,9-b,Acetic acid,6.029,88027,34754,298.213,0.040417393268579176
CC,9-b,Propionic acid,6.645,2903,1393,6.513,8.827196747232889e-4
CC,9-b,Butyric acid,7.24,180340,93904,328.464,0.044517370679918684
CC,9-b,Valeric acid,8.201,4335,2190,7.37,9.988705669753785e-4
CC,9-b,Hexanoic,8.632,4628,2171,7.556,0.0010240795120849335
